,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_free_kicks,away_free_kicks,Unnamed: 12,marks_inside_50_home,marks_inside_50_away,penalties_conceded,home_one_percenters,away_one_percenters,percenters
49,1,2022-03-19,GWS_Sydney,Sydney_Swans,2.5,92.0,112.0,,,0.0,,,,,,0.0,,,
50,1,2022-03-19,Brisbane,Port_Adelaide,-17.5,80.0,69.0,,,0.0,,,,,,0.0,,,
51,1,2022-03-20,Hawthorn,North_Melbourne,-1.5,78.0,58.0,,,0.0,,,,,,0.0,,,
52,1,2022-03-20,Adelaide,Fremantle,-5.5,82.0,83.0,,,0.0,,,,,,0.0,,,
53,1,2022-03-20,West_Coast,Gold_Coast,7.5,80.0,107.0,,,0.0,,,,,,0.0,,,
54,2,2022-03-24,Western_Bulldogs,Carlton,-13.5,90.0,102.0,62.0,68.0,-6.0,19.0,19.0,0.0,,,0.0,51.0,49.0,2.0
55,2,2022-03-25,Sydney_Swans,Geelong,-3.5,107.0,77.0,76.0,67.0,9.0,24.0,23.0,1.0,,,0.0,43.0,50.0,-7.0
56,2,2022-03-26,Collingwood,Adelaide,-21.5,100.0,58.0,64.0,72.0,-8.0,30.0,18.0,12.0,,,0.0,48.0,43.0,5.0
57,2,2022-03-26,Essendon,Brisbane,14.5,75.0,97.0,63.0,74.0,-11.0,23.0,18.0,5.0,,,0.0,46.0,49.0,-3.0
58,2,2022-03-26,Port_Adelaide,Hawthorn,-23.5,56.0,120.0,76.0,71.0,5.0,15.0,17.0,-2.0,,,0.0,51.0,51.0,0.0
59,2,2022-03-26,Gold_Coast,Melbourne_Demons,20.5,69.0,82.0,81.0,75.0,6.0,17.0,20.0,-3.0,,,0.0,80.0,56.0,24.0
60,2,2022-03-27,North_Melbourne,West_Coast,-25.5,74.0,59.0,65.0,74.0,-9.0,25.0,21.0,4.0,,,0.0,48.0,46.0,2.0
61,2,2022-03-27,Richmond,GWS_Sydney,10.5,109.0,73.0,60.0,63.0,-3.0,26.0,18.0,8.0,,,0.0,51.0,52.0,-1.0
62,2,2022-03-27,Fremantle,St_Kilda,-1.5,55.0,65.0,74.0,74.0,0.0,27.0,24.0,3.0,,,0.0,54.0,35.0,19.0
63,3,2021-10-08,Western_Bulldogs,Sydney_Swans,-3.0,71.0,60.0,59.0,65.0,-6.0,31.0,14.0,17.0,,,0.0,,,0.0
64,3,2021-10-08,Melbourne_Demons,Essendon,-28.5,99.0,70.0,60.0,70.0,-10.0,19.0,20.0,-1.0,,,0.0,,,0.0
65,3,2021-10-09,Adelaide,Port_Adelaide,18.5,96.0,92.0,67.0,65.0,2.0,28.0,23.0,5.0,,,0.0,,,0.0
66,3,2021-10-09,GWS_Sydney,Gold_Coast,-10.5,83.0,57.0,68.0,58.0,10.0,25.0,20.0,5.0,,,0.0,,,0.0
67,3,2021-10-09,Collingwood,Geelong,14.5,91.0,104.0,65.0,72.0,-7.0,23.0,21.0,2.0,,,0.0,,,0.0
68,3,2021-10-09,Brisbane,North_Melbourne,-43.5,156.0,48.0,48.0,73.0,-25.0,19.0,18.0,1.0,,,0.0,,,0.0
69,3,2022-04-02,Carlton,Hawthorn,-8.5,74.0,73.0,81.0,80.0,1.0,23.0,20.0,3.0,,,0.0,,,0.0
70,3,2022-04-02,St_Kilda,Richmond,-2.5,117.0,84.0,65.0,66.0,-1.0,27.0,19.0,8.0,,,0.0,,,0.0
71,3,2022-04-02,West_Coast,Fremantle,-3.5,47.0,102.0,76.0,69.0,7.0,29.0,22.0,7.0,,,0.0,,,0.0
72,4,2022-04-07,Port_Adelaide,Melbourne_Demons,15.5,36.0,68.0,75.0,77.0,-2.0,21.0,24.0,-3.0,,,0.0,,,0.0
73,4,2022-04-08,Geelong,Brisbane,-2.5,80.0,70.0,63.0,74.0,-11.0,18.0,16.0,2.0,,,0.0,,,0.0
74,4,2022-04-09,Sydney_Swans,North_Melbourne,-40.5,86.0,75.0,74.0,73.0,1.0,26.0,34.0,-8.0,,,0.0,,,0.0
75,4,2022-04-09,Collingwood,West_Coast,-25.5,74.0,87.0,70.0,75.0,-5.0,28.0,21.0,7.0,,,0.0,,,0.0
76,4,2022-04-09,Richmond,Western_Bulldogs,14.5,99.0,61.0,68.0,69.0,-1.0,15.0,25.0,-10.0,,,0.0,,,0.0
77,4,2022-04-09,Fremantle,GWS_Sydney,-7.5,88.0,54.0,74.0,81.0,-7.0,42.0,16.0,26.0,,,0.0,,,0.0
78,4,2022-04-10,Essendon,Adelaide,-7.5,103.0,99.0,72.0,76.0,-4.0,24.0,26.0,-2.0,,,0.0,,,0.0
79,4,2022-04-10,Hawthorn,St_Kilda,2.5,73.0,142.0,68.0,65.0,3.0,25.0,27.0,-2.0,,,0.0,,,0.0
80,4,2022-04-10,Gold_Coast,Carlton,8.5,92.0,62.0,79.0,66.0,13.0,17.0,21.0,-4.0,,,0.0,,,0.0
81,5,2022-04-14,Brisbane,Collingwood,-29.5,98.0,91.0,79.0,81.0,-2.0,26.0,24.0,2.0,,,0.0,,,0.0
82,5,2022-04-15,North_Melbourne,Western_Bulldogs,32.5,71.0,139.0,73.0,58.0,15.0,28.0,22.0,6.0,,,0.0,,,0.0
83,5,2022-04-15,West_Coast,Sydney_Swans,8.5,58.0,121.0,78.0,69.0,9.0,19.0,20.0,-1.0,,,0.0,,,
84,5,2022-04-16,St_Kilda,Gold_Coast,-20.5,87.0,61.0,70.0,69.0,1.0,18.0,15.0,3.0,,,0.0,,,
85,5,2022-04-16,Adelaide,Richmond,6.5,101.0,82.0,65.0,71.0,-6.0,33.0,13.0,20.0,,,0.0,,,
86,5,2022-04-16,Melbourne_Demons,GWS_Sydney,-32.5,120.0,53.0,66.0,73.0,-7.0,18.0,24.0,-6.0,,,0.0,,,
87,5,2022-04-17,Carlton,Port_Adelaide,-10.5,94.0,91.0,65.0,58.0,7.0,20.0,23.0,-3.0,,,0.0,,,
88,5,2022-04-17,Essendon,Fremantle,-1.5,59.0,107.0,63.0,71.0,-8.0,21.0,22.0,-1.0,,,0.0,,,
89,5,2022-04-18,Hawthorn,Geelong,16.5,92.0,80.0,70.0,70.0,0.0,25.0,18.0,7.0,,,0.0,,,
90,6,2022-04-22,GWS_Sydney,St_Kilda,3.5,60.0,77.0,66.0,64.0,2.0,26.0,21.0,5.0,,,0.0,,,
91,6,2022-04-23,Western_Bulldogs,Adelaide,-23.5,62.0,63.0,76.0,67.0,9.0,24.0,10.0,14.0,,,0.0,,,
92,6,2022-04-23,Port_Adelaide,West_Coast,-17.5,117.0,33.0,66.0,67.0,-1.0,22.0,12.0,10.0,,,0.0,,,
93,6,2022-04-23,Fremantle,Carlton,-6.5,97.0,62.0,55.0,64.0,-9.0,21.0,23.0,-2.0,,,0.0,,,
94,6,2022-04-24,North_Melbourne,Geelong,26.5,61.0,121.0,80.0,61.0,19.0,26.0,29.0,-3.0,,,0.0,,,
95,6,2022-04-24,Gold_Coast,Brisbane,18.5,80.0,132.0,80.0,79.0,1.0,24.0,30.0,-6.0,,,0.0,,,
96,6,2022-04-24,Richmond,Melbourne_Demons,21.5,54.0,76.0,79.0,64.0,15.0,19.0,28.0,-9.0,,,0.0,,,
97,6,2022-04-25,Hawthorn,Sydney_Swans,11.5,68.0,109.0,68.0,68.0,0.0,22.0,29.0,-7.0,,,0.0,,,
98,6,2022-04-25,Essendon,Collingwood,8.5,82.0,93.0,59.0,54.0,5.0,22.0,16.0,6.0,,,0.0,,,
99,7,2022-04-29,West_Coast,Richmond,8.5,56.0,165.0,81.0,70.0,11.0,20.0,23.0,-3.0,,,0.0,,,
100,7,2022-04-30,Geelong,Fremantle,-26.5,66.0,69.0,73.0,75.0,-2.0,29.0,24.0,5.0,,,0.0,,,
101,7,2022-04-30,Adelaide,GWS_Sydney,-6.5,54.0,113.0,74.0,65.0,9.0,20.0,17.0,3.0,,,0.0,,,
102,7,2022-04-30,Melbourne_Demons,Hawthorn,-25.5,91.0,81.0,69.0,60.0,9.0,26.0,14.0,12.0,,,0.0,,,
103,7,2022-04-30,St_Kilda,Port_Adelaide,-7.5,42.0,43.0,98.0,100.0,-2.0,26.0,20.0,6.0,,,0.0,,,
104,7,2022-04-30,Carlton,North_Melbourne,-27.5,114.0,64.0,51.0,62.0,-11.0,27.0,18.0,9.0,,,0.0,,,
105,7,2022-05-01,Collingwood,Gold_Coast,-11.5,115.0,90.0,53.0,68.0,-15.0,23.0,19.0,4.0,,,0.0,,,
106,7,2022-05-01,Western_Bulldogs,Essendon,-17.5,103.0,71.0,64.0,61.0,3.0,27.0,25.0,2.0,,,0.0,,,
107,7,2022-05-01,Sydney_Swans,Brisbane,-2.5,89.0,113.0,70.0,60.0,10.0,24.0,23.0,1.0,,,0.0,,,
108,8,2022-05-06,Port_Adelaide,Western_Bulldogs,1.5,86.0,69.0,53.0,62.0,-9.0,26.0,26.0,0.0,,,0.0,,,
109,8,2022-05-06,Fremantle,North_Melbourne,-38.5,102.0,24.0,62.0,69.0,-7.0,16.0,14.0,2.0,,,0.0,,,
110,8,2022-05-07,Richmond,Collingwood,-15.5,113.0,86.0,77.0,74.0,3.0,15.0,22.0,-7.0,,,0.0,,,
111,8,2022-05-07,Sydney_Swans,Gold_Coast,-30.5,61.0,75.0,70.0,69.0,1.0,19.0,26.0,-7.0,,,0.0,,,
112,8,2022-05-07,GWS_Sydney,Geelong,2.5,35.0,88.0,74.0,62.0,12.0,22.0,18.0,4.0,,,0.0,,,
113,8,2022-05-07,Essendon,Hawthorn,9.5,108.0,81.0,58.0,57.0,1.0,17.0,19.0,-2.0,,,0.0,,,
114,8,2022-05-07,Brisbane,West_Coast,-64.5,105.0,30.0,72.0,81.0,-9.0,18.0,17.0,1.0,,,0.0,,,
115,8,2022-05-08,Melbourne_Demons,St_Kilda,-19.5,93.0,55.0,77.0,85.0,-8.0,25.0,18.0,7.0,,,0.0,,,
116,8,2022-05-08,Carlton,Adelaide,-20.5,116.0,68.0,62.0,67.0,-5.0,29.0,24.0,5.0,,,0.0,,,
117,9,2022-05-13,Collingwood,Western_Bulldogs,9.5,51.0,99.0,64.0,66.0,-2.0,18.0,22.0,-4.0,11.0,14.0,-3.0,,,
118,9,2022-05-14,Hawthorn,Richmond,19.5,94.0,117.0,74.0,69.0,5.0,23.0,13.0,10.0,9.0,13.0,-4.0,,,
119,9,2022-05-14,North_Melbourne,Port_Adelaide,37.5,46.0,115.0,69.0,68.0,1.0,25.0,18.0,7.0,6.0,22.0,-16.0,,,
120,9,2022-05-14,St_Kilda,Geelong,5.5,90.0,80.0,63.0,58.0,5.0,19.0,19.0,0.0,14.0,12.0,2.0,,,
121,9,2022-05-14,Sydney_Swans,Essendon,-23.5,105.0,47.0,59.0,66.0,-7.0,24.0,18.0,6.0,19.0,6.0,13.0,,,
122,9,2022-05-14,Adelaide,Brisbane,27.5,66.0,102.0,63.0,74.0,-11.0,28.0,22.0,6.0,8.0,7.0,1.0,,,
123,9,2022-05-15,Gold_Coast,Fremantle,10.5,69.0,33.0,92.0,82.0,10.0,20.0,24.0,-4.0,5.0,3.0,2.0,,,
124,9,2022-05-15,GWS_Sydney,Carlton,-3.5,75.0,105.0,81.0,72.0,9.0,25.0,19.0,6.0,5.0,12.0,-7.0,,,
125,9,2022-05-15,West_Coast,Melbourne_Demons,67.5,38.0,112.0,76.0,66.0,10.0,25.0,18.0,7.0,8.0,13.0,-5.0,,,
126,10,2022-05-20,Carlton,Sydney_Swans,1.5,,,,,0.0,,,0.0,,,0.0,,,
127,10,2022-05-21,Geelong,Port_Adelaide,-19.5,,,,,0.0,,,0.0,,,0.0,,,
128,10,2022-05-21,Western_Bulldogs,Gold_Coast,-16.5,,,,,0.0,,,0.0,,,0.0,,,
129,10,2022-05-21,North_Melbourne,Melbourne_Demons,68.5,,,,,0.0,,,0.0,,,0.0,,,
130,10,2022-05-21,Adelaide,St_Kilda,18.5,,,,,0.0,,,0.0,,,0.0,,,
131,10,2022-05-21,Richmond,Essendon,-24.5,,,,,0.0,,,0.0,,,0.0,,,
132,10,2022-05-22,GWS_Sydney,West_Coast,-39.5,,,,,0.0,,,0.0,,,0.0,,,
133,10,2022-05-22,Hawthorn,Brisbane,23.5,,,,,0.0,,,0.0,,,0.0,,,
134,10,2022-05-22,Fremantle,Collingwood,-24.5,,,,,0.0,,,0.0,,,0.0,,,
135,11,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
136,11,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
137,11,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
138,11,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
139,12,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
140,12,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
141,12,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
142,12,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
143,13,2022-12-31,,,,,,,,0.0,,,0.0,,,0.0,,,
144,13,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
145,13,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
146,14,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
147,15,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
148,15,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
149,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
150,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
151,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
152,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
153,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
154,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
155,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
156,16,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
157,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
158,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
159,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
160,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
161,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
162,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
163,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
164,17,2022-12-31,,,,,,,,0.0,,,,,,0.0,,,
165,18,2022-12-31,,,,,,,,,,,,,,,,,
166,18,2022-12-31,,,,,,,,,,,,,,,,,
167,18,2022-12-31,,,,,,,,,,,,,,,,,
168,18,2022-12-31,,,,,,,,,,,,,,,,,
169,18,2022-12-31,,,,,,,,,,,,,,,,,
170,18,2022-12-31,,,,,,,,,,,,,,,,,
171,18,2022-12-31,,,,,,,,,,,,,,,,,
172,18,2022-12-31,,,,,,,,,,,,,,,,,
173,19,2022-12-31,,,,,,,,,,,,,,,,,
174,19,2022-12-31,,,,,,,,,,,,,,,,,
175,19,2022-12-31,,,,,,,,,,,,,,,,,
176,19,2022-12-31,,,,,,,,,,,,,,,,,
177,19,2022-12-31,,,,,,,,,,,,,,,,,
178,19,2022-12-31,,,,,,,,,,,,,,,,,
179,19,2022-12-31,,,,,,,,,,,,,,,,,
180,19,2022-12-31,,,,,,,,,,,,,,,,,
181,20,2022-12-31,,,,,,,,,,,,,,,,,
182,20,2022-12-31,,,,,,,,,,,,,,,,,
183,20,2022-12-31,,,,,,,,,,,,,,,,,
184,20,2022-12-31,,,,,,,,,,,,,,,,,
185,20,2022-12-31,,,,,,,,,,,,,,,,,
186,20,2022-12-31,,,,,,,,,,,,,,,,,
187,20,2022-12-31,,,,,,,,,,,,,,,,,
188,20,2022-12-31,,,,,,,,,,,,,,,,,
189,21,2022-12-31,,,,,,,,,,,,,,,,,
190,21,2022-12-31,,,,,,,,,,,,,,,,,
191,21,2022-12-31,,,,,,,,,,,,,,,,,
192,21,2022-12-31,,,,,,,,,,,,,,,,,
193,21,2022-12-31,,,,,,,,,,,,,,,,,
194,21,2022-12-31,,,,,,,,,,,,,,,,,
195,21,2022-12-31,,,,,,,,,,,,,,,,,
196,21,2022-12-31,,,,,,,,,,,,,,,,,
